Components,Variance,Cumulative Variance
1.0,0.38929163936280214,0.38929163936280214
2.0,0.2599548761428067,0.6492465155056089
3.0,0.08853609256645585,0.7377826080720647
4.0,0.05304206754206504,0.7908246756141298
5.0,0.04089279382659299,0.8317174694407228
6.0,0.03106970526817561,0.8627871747088984
7.0,0.030576880938151033,0.8933640556470495
8.0,0.023089473673177256,0.9164535293202267
9.0,0.015213100857130549,0.9316666301773573
10.0,0.014321136424855536,0.9459877666022128
11.0,0.010846412211207867,0.9568341788134207
12.0,0.008274481785336393,0.9651086605987571
13.0,0.006890289253704836,0.9719989498524619
14.0,0.005368533675014292,0.9773674835274763
15.0,0.00526915015545419,0.9826366336829304
16.0,0.004079621345948395,0.9867162550288788
17.0,0.003740636414911116,0.9904568914437899
18.0,0.0029149187225233257,0.9933718101663133
19.0,0.0015310223026860552,0.9949028324689994
20.0,0.0010588410613443962,0.9959616735303437
21.0,0.0008674669960433921,0.996829140526387
22.0,0.000697448872450805,0.9975265893988379
23.0,0.0005884348271817639,0.9981150242260196
24.0,0.0004874778317365617,0.9986025020577561
25.0,0.0004429024431987457,0.9990454045009549
26.0,0.0003935564732399787,0.9994389609741949
27.0,0.00035054607494794203,0.9997895070491428
28.0,0.00021049295085702553,0.9999999999999999
